AgentId,TriggerSchemaName,MetricDate,Total Autonomous Runs per trigger,Number of successful runs per trigger,Number of failed runs per trigger,Total duration of all runs per trigger,Total duration of all successful runs per trigger,Total duration of all failed runs per trigger,Number of successful runs with knowledge sources used per trigger,Number of failed runs with knowledge sources used per trigger,Number of successful runs with actions used per trigger,Number of failed runs with actions used per trigger,Number of successful runs where no operation ( use of an action or knowledge source access) was done per trigger,Number of failed runs where no operation ( use of an action or knowledge source access) was done per trigger
7ac60d72-1bb2-7614-667c-584e84f2af83,crad4_pythonCodeRunner.ExternalTriggerComponent.Whenanitemorafil.f2d32bfa-f7a0-4d4e-8a14-0774e10b60f,2026-01-25,2,2,0,40,40,0,0,0,0,0,2,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-01-25,104,104,0,5749,5749,0,0,0,0,0,104,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.ExternalTriggerComponent.Whenanitemiscreated.57933ba0-7281-404f-99ff-a10a36b81775,2026-01-25,172,167,5,776,748,28,0,0,167,5,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,c0f8c8f0-a8c7-7743-d014-fd00baee6dc6,2026-01-25,1,1,0,7,7,0,0,0,0,0,1,0
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.ExternalTriggerComponent.Whenanewchannel.f0749be7-bc3f-4803-9948-e8a533f5170,2026-01-25,3,2,1,38,24,14,0,0,0,1,2,0
7ac60d72-1bb2-7614-667c-584e84f2af83,8c0b01e7-35ab-847f-c6e8-03afa39502d3,2026-01-25,2,2,0,39,39,0,0,0,0,0,2,0
7ac60d72-1bb2-7614-667c-584e84f2af83,440d0e3b-8cb8-27fb-cc1f-a37370722b63,2026-01-25,2,2,0,21,21,0,0,0,0,0,2,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-01-25,7,7,0,172,172,0,3,0,7,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-01-25,175,0,175,895,0,895,0,0,0,175,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-02-01,7,7,0,193,193,0,3,0,7,0,0,0
