AgentId,MetricDate,Total Autonomous Runs,Number of successful runs,Number of failed runs,Total duration of all runs,Total duration of all successful runs,Total duration of all failed runs,Number of successful runs with knowledge sources used,Number of failed runs with knowledge sources used,Number of successful runs with actions used,Number of failed runs with actions used,Number of successful runs with no external operations,Number of failed runs with no external operations
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-25,104,104,0,5749,5749,0,0,0,0,0,104,0
7ac60d72-1bb2-7614-667c-584e84f2af83,2026-01-25,6,6,0,100,100,0,0,0,0,0,6,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-25,7,7,0,172,172,0,3,0,7,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-25,1,1,0,7,7,0,0,0,0,0,1,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-25,172,167,5,776,748,28,0,0,167,5,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-01,7,7,0,193,193,0,3,0,7,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-02-01,1,1,0,6,6,0,0,0,0,0,1,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-01,171,0,171,912,0,912,0,0,0,171,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-01,29,29,0,1562,1562,0,0,0,0,0,29,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-08,1,1,0,82,82,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-08,2,2,0,28,28,0,0,0,2,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-08,294,0,294,1371,0,1371,0,0,0,294,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-02-08,1,1,0,6,6,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-08,7,7,0,148,148,0,4,0,7,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-15,7,7,0,144,144,0,4,0,7,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-15,275,0,275,1515,0,1515,0,0,0,275,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-15,5,5,0,70,70,0,0,0,5,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-15,1,1,0,74,74,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-02-22,1,1,0,14,14,0,0,0,1,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-02-22,86,86,0,6793,6793,0,0,0,0,0,86,0
bafdecf0-bff2-afee-ee8a-0e22c63d41b7,2026-02-22,10,10,0,54,54,0,0,0,10,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-02-22,246,1,245,1610,8,1602,0,0,1,245,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-02-22,4,4,0,453,453,0,0,0,0,0,4,0
33e839ea-074e-e138-16dc-4a867812860d,2026-02-22,7,7,0,131,131,0,4,0,6,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,2026-03-01,7,7,0,628,628,0,0,0,0,0,7,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2026-03-01,79,79,0,4106,4106,0,0,0,79,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-03-01,213,0,213,1209,0,1209,0,0,0,213,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-03-01,1,1,0,76,76,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,2026-03-01,1,1,0,11,11,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,2026-03-01,19,19,0,666,666,0,0,0,19,0,0,0
