AgentId,ActionSchemaName,MetricDate,Total Runs per action,Number of successful actions in runs,Number of actions in successful runs,Number of successful actions in successful runs
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-03-01,7,7,7,7
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-03-01,1,1,1,1
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-03-01,144,144,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Gettables_L8G,2026-03-01,1,1,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-03-01,213,0,0,0
aafe92e4-b32d-77f4-09ef-1d131aa5787e,cre4a_regulatoryDev.action.AzureDevOps-Searchforworkitems,2026-03-01,1,0,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Getrows_Atp,2026-03-01,4,0,0,0
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_2wZ,2026-03-01,3,3,0,0
59009651-a5e1-cf24-e54d-53a39c82cd5d,crad4_forecastInsights.action.PowerBI-Runaqueryagainstadataset,2026-03-01,2,2,0,0
50f916f3-2f84-4e0b-8468-8b8e8f506bc0,cr103_agent1.action.SQLServer-GetrowsV2,2026-03-01,1,0,0,0
59009651-a5e1-cf24-e54d-53a39c82cd5d,crad4_forecastInsights.action.PowerBI-Runaqueryagainstadataset,2026-03-08,1,1,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-03-08,195,0,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Createitem,2026-03-08,19,11,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-03-08,124,124,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-03-08,6,6,6,6
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_2wZ,2026-03-08,3,2,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-03-08,1,1,1,1
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_Tkt,2026-03-08,3,1,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Getrows,2026-03-08,1,1,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-03-08,14,14,14,14
11c98121-b090-86f2-e35e-095856ee3c17,crad4_sfdcRegressionIntelligence.action.AzureDevOps-Getworkitemdetails,2026-03-08,1,0,0,0
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,crad4_rdaInfoBot.action.SharePoint-Getitems,2026-03-08,15,12,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-03-08,2,0,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Updateitem,2026-03-08,2,0,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Getitems,2026-03-08,3,3,0,0
f0d0a9bd-433c-deeb-63e8-4a4c455202fa,cua_agent__rMCt.action.AzureAISearch-SemanticHybridSearch,2026-03-08,1,0,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Gettables,2026-03-08,1,1,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Getitem,2026-03-08,8,4,0,0
432b3a6d-168a-a766-89d8-ef47a9c99084,copilots_header_aa80c.action.MySQL-Getrows_i4a,2026-03-08,4,0,0,0
2aab30a8-56b8-f8d8-70c3-e833d143bc37,crad4_dailyMeetingBriefingAgent.action.Untitled,2026-03-15,2,2,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-03-15,301,0,0,0
df66b318-4bbd-6dcb-d6dd-6aaf07eb7275,crad4_agentTm9sB-.action.SQLServer-ExecuteaSQLqueryV2,2026-03-15,133,123,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-03-15,5,5,5,5
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-03-15,1,1,1,1
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Createitem,2026-03-15,1,1,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-03-15,225,225,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Getitems_T_y,2026-03-15,1,1,0,0
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Getitem,2026-03-15,1,0,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems_wGU,2026-03-15,23,21,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-03-15,11,11,11,11
adf47dbf-5916-88be-11a7-7eb66c134364,copilots_header_81655.action.ExcelExtractFlow,2026-03-15,3,3,0,0
aafe92e4-b32d-77f4-09ef-1d131aa5787e,cre4a_regulatoryDev.action.MicrosoftDataverse-Listrowsfromselectedenvironment,2026-03-15,1,1,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.action.Office365Outlook-AssignsanOutlookcategory,2026-03-15,139,53,53,53
b7bdbd90-2944-3789-b262-645c86df4d6a,copilots_header_a83e6.action.SharePoint-Getitems_dV7,2026-03-15,1,1,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-03-15,6,6,0,0
f0d0a9bd-433c-deeb-63e8-4a4c455202fa,cua_agent__rMCt.action.AzureAISearch-SemanticHybridSearch,2026-03-22,2,0,0,0
